,id,E,V,B,Bp
0,0,-10.935375206418165,15.82077723316071,1.6145426632466722,4.176717437790853
1,1,-10.214886085211905,18.097221548909054,1.0539158918590457,3.8284557572547984
2,2,-47.173097044008536,65.58212372180613,1.6014758676724616,4.123880185284085
3,3,-51.022624052582294,66.26953474550369,1.7251508390356487,4.172864384047062
4,4,-23.121948392262066,33.72163333478647,1.4370722440528034,4.20553475551623
5,5,-45.073812616526666,65.32462561383917,1.5226220100178334,4.149108584227225
6,6,-45.45885553760782,65.46587727620675,1.5495899910381017,4.125183184350669
7,7,-43.363651357558744,65.18506481450301,1.4769637262047206,4.126156053049071
8,8,-23.90963514883968,31.975604954071365,1.7643200976335478,4.197132327872409
9,9,-11.8122227365959,18.27709695442415,1.2224564799716824,4.07844540603177
10,10,-24.955093662177937,34.10862744419977,1.529737781891651,4.0739495197894415
11,11,-12.95624815086671,16.164849055020934,1.9049032191122741,4.201893981923619
12,12,-49.346941123337125,66.13102680433687,1.6840079044334149,4.193202121688076
13,13,-21.398658734027283,33.665028068942874,1.3439020978409886,4.090998832842085
14,14,-44.52151043425223,67.3888860622818,1.3893142096435773,4.091328410966617
15,15,-45.0949080480012,69.91358189820177,1.2773643074868342,3.952395072250396
16,16,-43.35543435148613,69.86177525792964,1.2314728754901607,3.915094268586656
17,17,-48.21322198502186,68.0807317136588,1.495961281898292,4.111572295853381
18,18,-46.999357852514414,70.28601717144748,1.3335281513617339,3.8760385927317236
19,19,-45.270883616726344,70.16744925097794,1.291006332046179,3.9523941397803357
20,20,-48.07039787947807,67.84467567049286,1.48450188578936,4.112638566101651
21,21,-47.17309704409866,65.5821237372641,1.6014758677694,4.123880245091583
22,22,-47.173096976013454,65.58212755822376,1.601479086542211,4.123703792038631
23,23,-47.17309684649959,65.58212233422184,1.601475535536012,4.1238892800636995
24,24,-47.16448500053573,65.66346435958111,1.593718814946458,4.2132450371914745
25,25,-183.3884816659257,269.9859856677603,1.5295406653597998,4.81376486206979
26,26,-47.15602724649612,65.59712927212772,1.595548752058778,4.2012354708547415
27,27,-48.93936894677285,65.9847357482037,1.6552467915526643,4.2036012665316145
28,28,-45.458855537694824,65.46587722489132,1.549589992793297,4.125183131286767
29,29,-45.45885597823529,65.46585420374137,1.5495914082316538,4.125335917596266
30,30,-45.458856692721476,65.4658890857279,1.549591559272337,4.125074309782108
31,31,-176.83614414814912,268.0236096205558,1.4206988535947693,4.391217978943279
32,32,-45.425631287734596,65.49335002218565,1.5545971284945594,4.150404037240594
33,33,-45.40044493978999,65.58858065968951,1.5402698808536819,4.148864518973254
34,34,-44.656020917073945,67.66201898889891,1.4011728857425751,4.057005621321643
35,35,-47.268339688700685,65.84285031297593,1.6120007188905743,4.151354108344493
36,36,-23.121948392294136,33.721633333093365,1.4370722444491812,4.205534754725412
37,37,-45.0738126165346,65.32462560165962,1.522622010249848,4.149108648293607
38,38,-46.63158969422969,70.19062216380772,1.3107548607724626,3.8837170993325034
39,39,-49.346941123407355,66.13102682087015,1.684007904496063,4.193202047225927
40,40,-23.260934103179306,33.97284723264992,1.46202973259439,4.15699284405735
41,41,-43.70941786475039,69.95624995641955,1.2519845569784982,3.8729670796553655
42,42,-23.909635099196016,31.97560744238012,1.764320514872097,4.197103876716081
43,43,-49.812365274716434,64.33143181179045,1.8256669250931723,4.16433922522793
44,44,-45.77666584250273,63.65185860702295,1.689919820678142,4.157549242437978
45,45,-24.95509366220759,34.10862738463921,1.5297377848799925,4.073949507046715
46,46,-51.02262405233704,66.26953469724795,1.7251508388122203,4.172864513749904
47,47,-48.549819097673264,70.51741945795003,1.3716836788189135,3.911040877046006
48,48,-21.398798849269298,33.664607596601435,1.3440928717398415,4.093552647999506
49,49,-43.36365135763143,65.18506482020788,1.476963726416311,4.126156076040567
50,50,-41.802127844127135,69.6019229609581,1.1910078244577786,3.8956430649786897
51,51,-22.02936580621127,36.41021033050774,1.1463106445928177,3.837468775648489
52,52,-42.45822246080711,72.65291361116348,1.1019884374833226,3.698908339659373
53,53,-45.650187017394714,73.00644845171341,1.1829881470119927,3.8231660191884935
54,54,-10.93537520642657,15.820777235027913,1.6145426632584912,4.176717424076411
55,55,-12.956248150891088,16.164849046816403,1.9049032205307193,4.201893986461543
56,56,-10.214886085380174,18.097221643181044,1.053915890877691,3.8284550813991545
57,57,-11.812222736723255,18.27709696380478,1.222456482235806,4.0784450867318505
58,58,-354.3948075344616,560.525713915542,1.223549096298232,3.8001420599957862
59,59,-354.39581547787674,560.5483121466131,1.2269050521538034,3.6873315699547944
60,60,-185.46882167247028,270.9431501967302,1.4479503094955959,4.17069760876041
61,61,-178.0896508341772,269.5934003691198,1.3937513100972576,4.103745940698561
62,62,-178.64319185833102,270.6403684132918,1.4071915183952453,4.110710823461038
63,63,-192.29284127881186,271.3224402701947,1.4837569874278629,4.1283102839645744
64,64,-192.85597702559673,272.2727780808436,1.496426663941594,4.1127959768093945
65,65,-42.63336780977917,67.19330934808708,1.339125578362384,4.071145621747065
66,66,-45.84181820776369,67.53357315895337,1.4142215248649745,4.082342794496519
67,67,-47.785938584347775,64.01322053633523,1.7547558128224978,4.133593028597188
68,68,-44.05344437959085,72.8643174580533,1.1472500143526383,3.638260308655809
69,69,-46.609084180222865,67.74111719801724,1.4706172804950641,4.117262184445781
70,70,-49.8043392508538,68.10577468836321,1.5479443634182901,4.098709096276707
71,71,-32.41447200595274,49.53844114316652,1.431853955033173,4.067535431918799
72,72,-34.18717273264494,49.587185557984,1.5047669380571467,4.1646054751865345
73,73,-34.83650872768915,47.803166441743365,1.7075527097487861,4.228352754249147
74,74,-31.653610059052774,51.71339256552647,1.224557090020482,3.9744087747850365
75,75,-32.25763909859632,54.47185421544372,1.1160741314373415,3.8146100337972415
76,76,-33.484271103558825,52.04216936901122,1.2760111420878217,4.0175360424515345
77,77,-34.995770304435034,51.99526623436033,1.3358701893780562,3.9695768430879124
78,78,-33.85110967250024,54.67218134563226,1.1690680184713582,3.7450268047225226
79,79,-36.79743252554635,52.44676450242237,1.402314193414354,4.002026217904982
80,80,-36.85436912810124,48.147157320309006,1.802680432618599,4.229383968199583
81,81,-36.317681220692734,50.14144182840123,1.5933584193399186,4.181112685670203
82,82,-38.0531772069839,50.223489732113215,1.6580417874752396,4.200339148336231
83,83,-75.07367445898903,116.96107825996879,1.3720291644792262,4.072166722920525
84,84,-80.21046210351503,117.24509892291478,1.4533548823090727,4.144347260420879
85,85,-82.62371203868412,111.78301403194185,1.7335868690143885,4.228394913227446
86,86,-74.30717496847566,119.01892445103009,1.286934460220007,4.069925421983988
87,87,-76.33681220544969,127.21891323629194,1.132512848068141,3.767188098422645
88,88,-80.00448902963456,119.93227841368798,1.3657385324515354,4.027247567268351
89,89,-80.9874215830722,119.57094985443682,1.382394884002208,4.0836325985987205
90,90,-77.92954978868227,127.40431843341018,1.1547121688897803,3.8173290142055345
91,91,-86.61260464178157,120.74530632552695,1.4637677050447366,3.994642218536001
92,92,-84.64136813543732,112.12352663155991,1.7738619204396644,4.239059206328362
93,93,-82.84807076315451,118.08705445811333,1.4986530322263198,4.224285550984266
94,94,-87.89824232197985,118.56251284340955,1.5721037864897716,4.100774206552867
95,95,-770.5349464728466,1212.942796735292,1.3371920733805702,4.12343929853812
96,96,-832.4779422269784,1216.07007675969,1.4258487676720981,4.0393233554177685
97,97,-860.440877534867,1151.4789487010357,1.7534875118874198,4.199156431245175
98,98,-793.2430781544523,1310.6253743054676,1.1440500360785681,3.7147337717153603
99,99,-838.14595792851,1224.5164912052603,1.4422557206327145,4.1551249022701855
100,100,-899.0987466139932,1229.568973664909,1.5248388083190063,4.0840807148552685
101,101,-92.87745483325514,135.57923447634423,1.426641960473501,4.107918754897698
