,CONVENTIONAL_POSCAR,Composition,E_f,Link,N_AT,PRIMITIVE_POSCAR,Prototype,References,Spacegroup,Unnamed: 0,Unnamed: 0.1,folder_name,id,prefix
0,Mo_676469_CONV.POSCAR,Mo,0.0,/materials/entry/676469,1,Mo_676469_PRIMITIVE.POSCAR,,"Jette, E.r., Foote, F.(1935). Precision determination of lattice constants. Journal of Chemical Physics, 3.",Im-3m,0.0,0.0,0,,Mo_676469
1,Nb_677905_CONV.POSCAR,Nb,0.0,/materials/entry/677905,1,Nb_677905_PRIMITIVE.POSCAR,,"Seybolt, A.u.(1954). Solid solubility of oxgen in columbium. Journal of Metals, 6.",Im-3m,1.0,1.0,1,,Nb_677905
2,TaMo2W_1018282_CONV.POSCAR,TaMo2W,-0.139,/materials/entry/1018282,4,TaMo2W_1018282_PRIMITIVE.POSCAR,,,Pnma,2.0,2.0,2,,TaMo2W_1018282
3,TaW3_D0_3_BiF3__308221_CONV.POSCAR,TaW3,-0.09,/materials/entry/308221,4,TaW3_D0_3_BiF3__308221_PRIMITIVE.POSCAR,D0_3_BiF3,,Fm-3m,3.0,3.0,3,,TaW3_D0_3_BiF3__308221
4,TaMo_B2_CsCl__306083_CONV.POSCAR,TaMo,-0.19399999999999998,/materials/entry/306083,2,TaMo_B2_CsCl__306083_PRIMITIVE.POSCAR,B2_CsCl,,Pm-3m,4.0,4.0,4,,TaMo_B2_CsCl__306083
5,TaMo3_D0_3_BiF3__311317_CONV.POSCAR,TaMo3,-0.11699999999999999,/materials/entry/311317,4,TaMo3_D0_3_BiF3__311317_PRIMITIVE.POSCAR,D0_3_BiF3,,Fm-3m,5.0,5.0,5,,TaMo3_D0_3_BiF3__311317
6,NbMo2W_1018023_CONV.POSCAR,NbMo2W,-0.1,/materials/entry/1018023,4,NbMo2W_1018023_PRIMITIVE.POSCAR,,,Fm-3m,6.0,6.0,6,,NbMo2W_1018023
7,NbMo3_D0_3_BiF3__311999_CONV.POSCAR,NbMo3,-0.08,/materials/entry/311999,4,NbMo3_D0_3_BiF3__311999_PRIMITIVE.POSCAR,D0_3_BiF3,,Fm-3m,7.0,7.0,7,,NbMo3_D0_3_BiF3__311999
8,MoW_B2_CsCl__307248_CONV.POSCAR,MoW,-0.01,/materials/entry/307248,2,MoW_B2_CsCl__307248_PRIMITIVE.POSCAR,B2_CsCl,,Pm-3m,8.0,8.0,8,,MoW_B2_CsCl__307248
9,Ta_676287_CONV.POSCAR,Ta,0.0,/materials/entry/676287,4,Ta_676287_PRIMITIVE.POSCAR,,"Wallace, W.e., Craig, R.s., Waite, T.r.(1956). Structures and phase relations in the tantalum hydrogen system between -145

and 70 degree C. Journal of Chemical Physics, 24.",Im-3m,9.0,9.0,9,,Ta_676287
10,TaW_B2_CsCl__304592_CONV.POSCAR,TaW,-0.102,/materials/entry/304592,2,TaW_B2_CsCl__304592_PRIMITIVE.POSCAR,B2_CsCl,,Pm-3m,10.0,10.0,10,,TaW_B2_CsCl__304592
11,W_676232_CONV.POSCAR,W,0.0,/materials/entry/676232,1,W_676232_PRIMITIVE.POSCAR,,"Deshpande, V.t., Pawar, R.(1962). X-ray determination of the thermal expansion of tungsten. Current Science, 31.",Im-3m,11.0,11.0,11,,W_676232
12,NbW3_D0_3_BiF3__310025_CONV.POSCAR,NbW3,-0.059000000000000004,/materials/entry/310025,4,NbW3_D0_3_BiF3__310025_PRIMITIVE.POSCAR,D0_3_BiF3,,Fm-3m,12.0,12.0,12,,NbW3_D0_3_BiF3__310025
13,NbMo_B2_CsCl__306419_CONV.POSCAR,NbMo,-0.11599999999999999,/materials/entry/306419,2,NbMo_B2_CsCl__306419_PRIMITIVE.POSCAR,B2_CsCl,,Pm-3m,13.0,13.0,13,,NbMo_B2_CsCl__306419
14,TaNbMo2_L2_1_FullHeusler_Cu2MnAl__449894_CONV.POSCAR,TaNbMo2,-0.154,/materials/entry/449894,4,TaNbMo2_L2_1_FullHeusler_Cu2MnAl__449894_PRIMITIVE.POSCAR,L2_1_FullHeusler_Cu2MnAl,,Fm-3m,14.0,14.0,14,449894.0,TaNbMo2_L2_1_FullHeusler_Cu2MnAl__449894
15,Ta2NbMo_L2_1_FullHeusler_Cu2MnAl__531780_CONV.POSCAR,Ta2NbMo,-0.081,/materials/entry/531780,4,Ta2NbMo_L2_1_FullHeusler_Cu2MnAl__531780_PRIMITIVE.POSCAR,L2_1_FullHeusler_Cu2MnAl,,Fm-3m,15.0,15.0,15,531780.0,Ta2NbMo_L2_1_FullHeusler_Cu2MnAl__531780
16,TaNb2Mo_L2_1_FullHeusler_Cu2MnAl__488098_CONV.POSCAR,TaNb2Mo,-0.04,/materials/entry/488098,4,TaNb2Mo_L2_1_FullHeusler_Cu2MnAl__488098_PRIMITIVE.POSCAR,L2_1_FullHeusler_Cu2MnAl,,Fm-3m,16.0,16.0,16,488098.0,TaNb2Mo_L2_1_FullHeusler_Cu2MnAl__488098
17,TaNbW2_L2_1_FullHeusler_Cu2MnAl__540288_CONV.POSCAR,TaNbW2,-0.066,/materials/entry/540288,4,TaNbW2_L2_1_FullHeusler_Cu2MnAl__540288_PRIMITIVE.POSCAR,L2_1_FullHeusler_Cu2MnAl,,Fm-3m,17.0,20.0,17,540288.0,TaNbW2_L2_1_FullHeusler_Cu2MnAl__540288
18,Ta2NbW_L2_1_FullHeusler_Cu2MnAl__530430_CONV.POSCAR,Ta2NbW,-0.05,/materials/entry/530430,4,Ta2NbW_L2_1_FullHeusler_Cu2MnAl__530430_PRIMITIVE.POSCAR,L2_1_FullHeusler_Cu2MnAl,,Fm-3m,18.0,21.0,18,530430.0,Ta2NbW_L2_1_FullHeusler_Cu2MnAl__530430
19,TaNb2W_L2_1_FullHeusler_Cu2MnAl__487015_CONV.POSCAR,TaNb2W,-0.012,/materials/entry/487015,4,TaNb2W_L2_1_FullHeusler_Cu2MnAl__487015_PRIMITIVE.POSCAR,L2_1_FullHeusler_Cu2MnAl,,Fm-3m,19.0,22.0,19,487015.0,TaNb2W_L2_1_FullHeusler_Cu2MnAl__487015
20,Ta2MoW_L2_1_FullHeusler_Cu2MnAl__532403_CONV.POSCAR,Ta2MoW,-0.145,/materials/entry/532403,4,Ta2MoW_L2_1_FullHeusler_Cu2MnAl__532403_PRIMITIVE.POSCAR,L2_1_FullHeusler_Cu2MnAl,,Fm-3m,20.0,25.0,20,532403.0,Ta2MoW_L2_1_FullHeusler_Cu2MnAl__532403
21,TaMo2W_1018282_CONV.POSCAR,TaMo2W,-0.139,/materials/entry/1018282,4,TaMo2W_1018282_PRIMITIVE.POSCAR,,,Pnma,21.0,26.0,21,1018282.0,TaMo2W_1018282
22,TaMo2W_1013912_CONV.POSCAR,TaMo2W,-0.138,/materials/entry/1013912,4,TaMo2W_1013912_PRIMITIVE.POSCAR,,,Pnnm,22.0,27.0,22,1013912.0,TaMo2W_1013912
23,TaMo2W_L2_1_FullHeusler_Cu2MnAl__447749_CONV.POSCAR,TaMo2W,-0.13699999999999998,/materials/entry/447749,4,TaMo2W_L2_1_FullHeusler_Cu2MnAl__447749_PRIMITIVE.POSCAR,L2_1_FullHeusler_Cu2MnAl,,Fm-3m,23.0,28.0,23,447749.0,TaMo2W_L2_1_FullHeusler_Cu2MnAl__447749
24,TaMo2W_1012840_CONV.POSCAR,TaMo2W,-0.136,/materials/entry/1012840,4,TaMo2W_1012840_PRIMITIVE.POSCAR,,,P4/mmm,24.0,29.0,24,1012840.0,TaMo2W_1012840
25,TaMo2W_1018775_CONV.POSCAR,TaMo2W,-0.135,/materials/entry/1018775,16,TaMo2W_1018775_PRIMITIVE.POSCAR,,,Pnma,25.0,30.0,25,1018775.0,TaMo2W_1018775
26,TaMo2W_1017204_CONV.POSCAR,TaMo2W,-0.135,/materials/entry/1017204,4,TaMo2W_1017204_PRIMITIVE.POSCAR,,,P4/mmm,26.0,31.0,26,1017204.0,TaMo2W_1017204
27,TaMoW2_L2_1_FullHeusler_Cu2MnAl__539220_CONV.POSCAR,TaMoW2,-0.07400000000000001,/materials/entry/539220,4,TaMoW2_L2_1_FullHeusler_Cu2MnAl__539220_PRIMITIVE.POSCAR,L2_1_FullHeusler_Cu2MnAl,,Fm-3m,27.0,32.0,27,539220.0,TaMoW2_L2_1_FullHeusler_Cu2MnAl__539220
28,NbMo2W_1018023_CONV.POSCAR,NbMo2W,-0.1,/materials/entry/1018023,4,NbMo2W_1018023_PRIMITIVE.POSCAR,,,Fm-3m,28.0,39.0,28,1018023.0,NbMo2W_1018023
29,NbMo2W_1013961_CONV.POSCAR,NbMo2W,-0.099,/materials/entry/1013961,4,NbMo2W_1013961_PRIMITIVE.POSCAR,,,Immm,29.0,40.0,29,1013961.0,NbMo2W_1013961
30,NbMo2W_L2_1_FullHeusler_Cu2MnAl__447707_CONV.POSCAR,NbMo2W,-0.098,/materials/entry/447707,4,NbMo2W_L2_1_FullHeusler_Cu2MnAl__447707_PRIMITIVE.POSCAR,L2_1_FullHeusler_Cu2MnAl,,Fm-3m,30.0,41.0,30,447707.0,NbMo2W_L2_1_FullHeusler_Cu2MnAl__447707
31,NbMo2W_1018516_CONV.POSCAR,NbMo2W,-0.091,/materials/entry/1018516,16,NbMo2W_1018516_PRIMITIVE.POSCAR,,,Pnma,31.0,42.0,31,1018516.0,NbMo2W_1018516
32,NbMo2W_1016945_CONV.POSCAR,NbMo2W,-0.09,/materials/entry/1016945,4,NbMo2W_1016945_PRIMITIVE.POSCAR,,,P4/mmm,32.0,43.0,32,1016945.0,NbMo2W_1016945
33,NbMo2W_1012893_CONV.POSCAR,NbMo2W,-0.086,/materials/entry/1012893,4,NbMo2W_1012893_PRIMITIVE.POSCAR,,,P4/mmm,33.0,44.0,33,1012893.0,NbMo2W_1012893
34,Nb2MoW_L2_1_FullHeusler_Cu2MnAl__488946_CONV.POSCAR,Nb2MoW,-0.07400000000000001,/materials/entry/488946,4,Nb2MoW_L2_1_FullHeusler_Cu2MnAl__488946_PRIMITIVE.POSCAR,L2_1_FullHeusler_Cu2MnAl,,Fm-3m,34.0,45.0,34,488946.0,Nb2MoW_L2_1_FullHeusler_Cu2MnAl__488946
35,NbMoW2_L2_1_FullHeusler_Cu2MnAl__539450_CONV.POSCAR,NbMoW2,-0.045,/materials/entry/539450,4,NbMoW2_L2_1_FullHeusler_Cu2MnAl__539450_PRIMITIVE.POSCAR,L2_1_FullHeusler_Cu2MnAl,,Fm-3m,35.0,46.0,35,539450.0,NbMoW2_L2_1_FullHeusler_Cu2MnAl__539450
36,TaMo_B2_CsCl__306083_CONV.POSCAR,TaMo,-0.19399999999999998,/materials/entry/306083,2,TaMo_B2_CsCl__306083_PRIMITIVE.POSCAR,B2_CsCl,,Pm-3m,36.0,56.0,36,306083.0,TaMo_B2_CsCl__306083
37,TaMo3_D0_3_BiF3__311317_CONV.POSCAR,TaMo3,-0.11699999999999999,/materials/entry/311317,4,TaMo3_D0_3_BiF3__311317_PRIMITIVE.POSCAR,D0_3_BiF3,,Fm-3m,37.0,57.0,37,311317.0,TaMo3_D0_3_BiF3__311317
38,Ta3Mo_D0_3_BiF3__314119_CONV.POSCAR,Ta3Mo,-0.068,/materials/entry/314119,4,Ta3Mo_D0_3_BiF3__314119_PRIMITIVE.POSCAR,D0_3_BiF3,,Fm-3m,38.0,58.0,38,314119.0,Ta3Mo_D0_3_BiF3__314119
39,NbW3_D0_3_BiF3__310025_CONV.POSCAR,NbW3,-0.059000000000000004,/materials/entry/310025,4,NbW3_D0_3_BiF3__310025_PRIMITIVE.POSCAR,D0_3_BiF3,,Fm-3m,39.0,69.0,39,310025.0,NbW3_D0_3_BiF3__310025
40,NbW_B2_CsCl__304545_CONV.POSCAR,NbW,-0.035,/materials/entry/304545,2,NbW_B2_CsCl__304545_PRIMITIVE.POSCAR,B2_CsCl,,Pm-3m,40.0,70.0,40,304545.0,NbW_B2_CsCl__304545
41,Nb3W_D0_3_BiF3__308193_CONV.POSCAR,Nb3W,-0.019,/materials/entry/308193,4,Nb3W_D0_3_BiF3__308193_PRIMITIVE.POSCAR,D0_3_BiF3,,Fm-3m,41.0,71.0,41,308193.0,Nb3W_D0_3_BiF3__308193
42,MoW_B2_CsCl__307248_CONV.POSCAR,MoW,-0.01,/materials/entry/307248,2,MoW_B2_CsCl__307248_PRIMITIVE.POSCAR,B2_CsCl,,Pm-3m,42.0,82.0,42,307248.0,MoW_B2_CsCl__307248
43,MoW3_D0_3_BiF3__308096_CONV.POSCAR,MoW3,-0.004,/materials/entry/308096,4,MoW3_D0_3_BiF3__308096_PRIMITIVE.POSCAR,D0_3_BiF3,,Fm-3m,43.0,83.0,43,308096.0,MoW3_D0_3_BiF3__308096
44,Mo3W_D0_3_BiF3__313644_CONV.POSCAR,Mo3W,-0.002,/materials/entry/313644,4,Mo3W_D0_3_BiF3__313644_PRIMITIVE.POSCAR,D0_3_BiF3,,Fm-3m,44.0,84.0,44,313644.0,Mo3W_D0_3_BiF3__313644
45,TaW_B2_CsCl__304592_CONV.POSCAR,TaW,-0.102,/materials/entry/304592,2,TaW_B2_CsCl__304592_PRIMITIVE.POSCAR,B2_CsCl,,Pm-3m,45.0,96.0,45,304592.0,TaW_B2_CsCl__304592
46,TaW3_D0_3_BiF3__308221_CONV.POSCAR,TaW3,-0.09,/materials/entry/308221,4,TaW3_D0_3_BiF3__308221_PRIMITIVE.POSCAR,D0_3_BiF3,,Fm-3m,46.0,97.0,46,308221.0,TaW3_D0_3_BiF3__308221
47,Ta3W_D0_3_BiF3__308288_CONV.POSCAR,Ta3W,-0.042,/materials/entry/308288,4,Ta3W_D0_3_BiF3__308288_PRIMITIVE.POSCAR,D0_3_BiF3,,Fm-3m,47.0,98.0,47,308288.0,Ta3W_D0_3_BiF3__308288
48,NbMo_B2_CsCl__306419_CONV.POSCAR,NbMo,-0.11599999999999999,/materials/entry/306419,2,NbMo_B2_CsCl__306419_PRIMITIVE.POSCAR,B2_CsCl,,Pm-3m,48.0,109.0,48,306419.0,NbMo_B2_CsCl__306419
49,NbMo3_D0_3_BiF3__311999_CONV.POSCAR,NbMo3,-0.08,/materials/entry/311999,4,NbMo3_D0_3_BiF3__311999_PRIMITIVE.POSCAR,D0_3_BiF3,,Fm-3m,49.0,110.0,49,311999.0,NbMo3_D0_3_BiF3__311999
50,Nb3Mo_D0_3_BiF3__310226_CONV.POSCAR,Nb3Mo,-0.05,/materials/entry/310226,4,Nb3Mo_D0_3_BiF3__310226_PRIMITIVE.POSCAR,D0_3_BiF3,,Fm-3m,50.0,111.0,50,310226.0,Nb3Mo_D0_3_BiF3__310226
51,TaNb_B2_CsCl__307535_CONV.POSCAR,TaNb,0.001,/materials/entry/307535,2,TaNb_B2_CsCl__307535_PRIMITIVE.POSCAR,B2_CsCl,,Pm-3m,51.0,122.0,51,307535.0,TaNb_B2_CsCl__307535
52,TaNb3_D0_3_BiF3__314195_CONV.POSCAR,TaNb3,0.001,/materials/entry/314195,4,TaNb3_D0_3_BiF3__314195_PRIMITIVE.POSCAR,D0_3_BiF3,,Fm-3m,52.0,123.0,52,314195.0,TaNb3_D0_3_BiF3__314195
53,Ta3Nb_D0_3_BiF3__308969_CONV.POSCAR,Ta3Nb,0.002,/materials/entry/308969,4,Ta3Nb_D0_3_BiF3__308969_PRIMITIVE.POSCAR,D0_3_BiF3,,Fm-3m,53.0,124.0,53,308969.0,Ta3Nb_D0_3_BiF3__308969
54,Mo_676469_CONV.POSCAR,Mo,0.0,/materials/entry/676469,1,Mo_676469_PRIMITIVE.POSCAR,,"Jette, E.r., Foote, F.(1935). Precision determination of lattice constants. Journal of Chemical Physics, 3.",Im-3m,54.0,135.0,54,676469.0,Mo_676469
55,W_676232_CONV.POSCAR,W,0.0,/materials/entry/676232,1,W_676232_PRIMITIVE.POSCAR,,"Deshpande, V.t., Pawar, R.(1962). X-ray determination of the thermal expansion of tungsten. Current Science, 31.",Im-3m,55.0,152.0,55,676232.0,W_676232
56,Nb_677905_CONV.POSCAR,Nb,0.0,/materials/entry/677905,1,Nb_677905_PRIMITIVE.POSCAR,,"Seybolt, A.u.(1954). Solid solubility of oxgen in columbium. Journal of Metals, 6.",Im-3m,56.0,169.0,56,677905.0,Nb_677905
57,Ta_676287_CONV.POSCAR,Ta,0.0,/materials/entry/676287,4,Ta_676287_PRIMITIVE.POSCAR,,"Wallace, W.e., Craig, R.s., Waite, T.r.(1956). Structures and phase relations in the tantalum hydrogen system between -145

and 70 degree C. Journal of Chemical Physics, 24.",Im-3m,57.0,186.0,57,676287.0,Ta_676287
58,Ta_670903_CONV.POSCAR,Ta,0.002,/materials/entry/670903,30,Ta_670903_PRIMITIVE.POSCAR,,"Moseley, P.t., Seabrook, C.j.(1973). The crystal structure of beta-tantalum. Acta Crystallographica B (24,1968-38,1982), 29.",P42/mnm,58.0,187.0,58,670903.0,Ta_670903
59,Ta_16591_CONV.POSCAR,Ta,0.003,/materials/entry/16591,30,Ta_16591_PRIMITIVE.POSCAR,,"Chapuis, G., Arakcheeva, A.v., Birkedal, H., Pattison, P., 

Grinevich, V.v.(2003). The commensurate composite sigma-structure of 

beta-tantalum. Acta Crystallographica B (39,1983-), 59.",P2,59.0,188.0,59,16591.0,Ta_16591
60,,MoNbTaW,-0.11296385453957747,,16,,,,,60.0,,60,,B4_MoNbTaW
61,,Mo2NbTa,-0.1561781771360753,,16,,,,,61.0,,61,,B3_Mo2NbTa
62,,Nb2MoW,-0.08523699106158666,,16,,,,,62.0,,62,,B3_MoNb2W
63,,Ta2MoW,-0.14059007992574024,,16,,,,,63.0,,63,,B3_MoTa2W
64,,W2NbTa,-0.07024856409979563,,16,,,,,64.0,,64,,B3_NbTaW2
65,,MoNb,-0.08279195244479355,,4,,B32,,Fd(-3)m,65.0,,65,,B32_MoNb
66,,MoTa,-0.08715455194092138,,4,,B32,,Fd(-3)m,66.0,,66,,B32_MoTa
67,,MoW,-0.002509646086943817,,4,,B32,,Fd(-3)m,67.0,,67,,B32_MoW
68,,NbTa,0.0003389051022875122,,4,,B32,,Fd(-3)m,68.0,,68,,B32_NbTa
69,,NbW,-0.06789604505571667,,4,,B32,,Fd(-3)m,69.0,,69,,B32_NbW
70,,TaW,-0.06895981271344986,,4,,B32,,Fd(-3)m,70.0,,70,,B32_TaW
71,,Mo2Nb,-0.1094073353175797,,3,,C11_b,,I4/mmm,71.0,,71,,tI6_Mo2Nb
72,,Mo2Ta,-0.16847424422739485,,3,,C11_b,,I4/mmm,72.0,,72,,tI6_Mo2Ta
73,,Mo2W,-0.004469575896384488,,3,,C11_b,,I4/mmm,73.0,,73,,tI6_Mo2W
74,,Nb2Mo,-0.09552001968425827,,3,,C11_b,,I4/mmm,74.0,,74,,tI6_Nb2Mo
75,,Nb2Ta,-0.004763032865440664,,3,,C11_b,,I4/mmm,75.0,,75,,tI6_Nb2Ta
76,,Nb2W,-0.033190367852943346,,3,,C11_b,,I4/mmm,76.0,,76,,tI6_Nb2W
77,,Ta2Mo,-0.1459067681450108,,3,,C11_b,,I4/mmm,77.0,,77,,tI6_Ta2Mo
78,,Ta2Nb,-0.0040865575000808025,,3,,C11_b,,I4/mmm,78.0,,78,,tI6_Ta2Nb
79,,Ta2W,-0.07391084183816332,,3,,C11_b,,I4/mmm,79.0,,79,,tI6_Ta2W
80,,W2Mo,-0.004539709363124682,,3,,C11_b,,I4/mmm,80.0,,80,,tI6_W2Mo
81,,W2Nb,-0.06537707356424488,,3,,C11_b,,I4/mmm,81.0,,81,,tI6_W2Nb
82,,W2Ta,-0.11204240234460157,,3,,C11_b,,I4/mmm,82.0,,82,,tI6_W2Ta
83,,Mo4Nb3,-0.09788920837086276,,7,,D7_1,,R-3m,83.0,,83,,hR7_Mo4Nb3
84,,Mo4Ta3,-0.14793030051134184,,7,,D7_1,,R-3m,84.0,,84,,hR7_Mo4Ta3
85,,Mo4W3,-0.0035302912269413256,,7,,D7_1,,R-3m,85.0,,85,,hR7_Mo4W3
86,,Nb4Mo3,-0.09113213835366553,,7,,D7_1,,R-3m,86.0,,86,,hR7_Nb4Mo3
87,,Nb4Ta3,-0.0055231722070995404,,7,,D7_1,,R-3m,87.0,,87,,hR7_Nb4Ta3
88,,Nb4W3,-0.04032700423350783,,7,,D7_1,,R-3m,88.0,,88,,hR7_Nb4W3
89,,Ta4Mo3,-0.13373879758174212,,7,,D7_1,,R-3m,89.0,,89,,hR7_Ta4Mo3
90,,Ta4Nb3,-0.0051285412798652685,,7,,D7_1,,R-3m,90.0,,90,,hR7_Ta4Nb3
91,,Ta4W3,-0.0726292345291191,,7,,D7_1,,R-3m,91.0,,91,,hR7_Ta4W3
92,,W4Mo3,-0.003531162205332196,,7,,D7_1,,R-3m,92.0,,92,,hR7_W4Mo3
93,,W4Nb3,-0.05557439473635993,,7,,D7_1,,R-3m,93.0,,93,,hR7_W4Nb3
94,,W4Ta3,-0.09324176028283457,,7,,D7_1,,R-3m,94.0,,94,,hR7_W4Ta3
95,,MoNb,-0.1263242565673153,,72,,B2_3,,,95.0,,95,,B2_3_MoNb
96,,MoTa,-0.18889364204136586,,72,,B2_3,,,96.0,,96,,B2_3_MoTa
97,,MoW,-0.0065927435398202144,,72,,B2_3,,,97.0,,97,,B2_3_MoW
98,,NbTa,-0.003564974367392892,,72,,B2_3,,,98.0,,98,,B2_3_NbTa
99,,NbW,-0.05654108234041803,,72,,B2_3,,,99.0,,99,,B2_3_NbW
100,,TaW,-0.10535759187023863,,72,,B2_3,,,100.0,,100,,B2_3_TaW
101,,MoNbTaW,-0.130844354156892,,8,,,,,,,101,,chain_MoNbTaW
